Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps954062;;;1885.0;;;;;;170.0;;8 kW;450.0;латунная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps889713;;;1936.0;;;;;;170.0;;8 kW;450.0;узкая золотая  
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps252086;;;2412.0;;;;;;170.0;;8 kW;450.0;широкая золотая  
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps409681;;;1936.0;;;;;;170.0;;8 kW;450.0;узкая хромированная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps610348;;;2412.0;;;;;;170.0;;8 kW;450.0;широкая хромированная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps765094;;;2412.0;;;;;;170.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps628434;;;1986.0;;;;;;170.0;;8 kW;510.0;черная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps247675;;;2060.0;;;;;;170.0;;8 kW;510.0;латунная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps625951;;;2110.0;;;;;;170.0;;8 kW;510.0;узкая золотая  
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps190685;;;2586.0;;;;;;170.0;;8 kW;510.0;широкая золотая  
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps742364;;;2110.0;;;;;;170.0;;8 kW;510.0;узкая хромированная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps235592;;;2586.0;;;;;;170.0;;8 kW;510.0;широкая хромированная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps688300;;;2586.0;;;;;;170.0;;8 kW;510.0;шлифованная, полированная  стальная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps533629;;;2226.0;;;;;;170.0;;8 kW;570.0;черная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps593315;;;2300.0;;;;;;170.0;;8 kW;570.0;латунная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps809351;;;2352.0;;;;;;170.0;;8 kW;570.0;узкая золотая  
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps545933;;;2825.0;;;;;;170.0;;8 kW;570.0;широкая золотая  
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps733354;;;2352.0;;;;;;170.0;;8 kW;570.0;узкая хромированная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps727242;;;2825.0;;;;;;170.0;;8 kW;570.0;широкая хромированная 
PRISMA M one part glass;;;Топки / Hajduk /  Prisma;Ps644354;;;2825.0;;;;;;170.0;;8 kW;570.0;шлифованная, полированная  стальная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph847123;;;2580.0;;;;;;185.0;;8 kW;450.0;черная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph946226;;;2655.0;;;;;;185.0;;8 kW;450.0;латунная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph486185;;;2706.0;;;;;;185.0;;8 kW;450.0;узкая золотая  
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph369521;;;3180.0;;;;;;185.0;;8 kW;450.0;широкая золотая  
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph492421;;;2706.0;;;;;;185.0;;8 kW;450.0;узкая хромированная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph316442;;;3180.0;;;;;;185.0;;8 kW;450.0;широкая хромированная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph710206;;;3180.0;;;;;;185.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph382421;;;2760.0;;;;;;185.0;;8 kW;510.0;черная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph822036;;;2840.0;;;;;;185.0;;8 kW;510.0;латунная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph917809;;;2886.0;;;;;;185.0;;8 kW;510.0;узкая золотая  
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph401967;;;3365.0;;;;;;185.0;;8 kW;510.0;широкая золотая  
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph76250;;;2886.0;;;;;;185.0;;8 kW;510.0;узкая хромированная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph797844;;;3365.0;;;;;;185.0;;8 kW;510.0;широкая хромированная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph662584;;;3365.0;;;;;;185.0;;8 kW;510.0;шлифованная, полированная  стальная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph5680;;;2940.0;;;;;;185.0;;8 kW;570.0;черная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph892213;;;3015.0;;;;;;185.0;;8 kW;570.0;латунная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph57323;;;3065.0;;;;;;185.0;;8 kW;570.0;узкая золотая  
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph425140;;;3540.0;;;;;;185.0;;8 kW;570.0;широкая золотая  
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph378180;;;3065.0;;;;;;185.0;;8 kW;570.0;узкая хромированная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph726865;;;3540.0;;;;;;185.0;;8 kW;570.0;широкая хромированная 
PRISMA M h;;;Топки / Hajduk /  Prisma;Ph180712;;;3540.0;;;;;;185.0;;8 kW;570.0;шлифованная, полированная  стальная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps477178;;;2810.0;;;;;;185.0;;8 kW;450.0;черная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps974892;;;2885.0;;;;;;185.0;;8 kW;450.0;латунная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps833150;;;2935.0;;;;;;185.0;;8 kW;450.0;узкая золотая  
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps466825;;;3410.0;;;;;;185.0;;8 kW;450.0;широкая золотая  
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps516353;;;2935.0;;;;;;185.0;;8 kW;450.0;узкая хромированная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps900368;;;3410.0;;;;;;185.0;;8 kW;450.0;широкая хромированная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps995208;;;3410.0;;;;;;185.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps112749;;;2849.0;;;;;;185.0;;8 kW;510.0;черная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps660706;;;2925.0;;;;;;185.0;;8 kW;510.0;латунная 
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps330911;;;2978.0;;;;;;185.0;;8 kW;510.0;узкая золотая  
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps386294;;;3450.0;;;;;;185.0;;8 kW;510.0;широкая золотая  
PRISMA M h one part glass;;;Топки / Hajduk /  Prisma;Ps146048;;;2978.0;;;;;;185.0;;8 kW;510.0;узкая хромированная 
