Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
PRISMA M;;;Серия Prisma;Sh167;;;1750.0;;;;;;170.0;;8 kW;450.0;узкая хромированная 
PRISMA M;;;Серия Prisma;Sh749;;;2230.0;;;;;;170.0;;8 kW;450.0;широкая хромированная 
PRISMA M;;;Серия Prisma;Sh154;;;2230.0;;;;;;170.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA M;;;Серия Prisma;Sh538;;;1805.0;;;;;;170.0;;8 kW;510.0;черная 
PRISMA M;;;Серия Prisma;Sh380;;;1880.0;;;;;;170.0;;8 kW;510.0;латунная 
PRISMA M;;;Серия Prisma;Sh304;;;1930.0;;;;;;170.0;;8 kW;510.0;узкая золотая  
PRISMA M;;;Серия Prisma;Sh663;;;2405.0;;;;;;170.0;;8 kW;510.0;широкая золотая  
PRISMA M;;;Серия Prisma;Sh146;;;1930.0;;;;;;170.0;;8 kW;510.0;узкая хромированная 
PRISMA M;;;Серия Prisma;PM607;;;2405.0;;;;;;170.0;;8 kW;510.0;широкая хромированная 
PRISMA M;;;Серия Prisma;PM617;;;2405.0;;;;;;170.0;;8 kW;510.0;шлифованная, полированная  стальная 
PRISMA M;;;Серия Prisma;PM432;;;1985.0;;;;;;170.0;;8 kW;570.0;черная 
PRISMA M;;;Серия Prisma;PM322;;;2060.0;;;;;;170.0;;8 kW;570.0;латунная 
PRISMA M;;;Серия Prisma;PM607;;;2110.0;;;;;;170.0;;8 kW;570.0;узкая золотая  
PRISMA M;;;Серия Prisma;PM514;;;2585.0;;;;;;170.0;;8 kW;570.0;широкая золотая  
PRISMA M;;;Серия Prisma;PM697;;;2110.0;;;;;;170.0;;8 kW;570.0;узкая хромированная 
PRISMA M;;;Серия Prisma;PM182;;;2585.0;;;;;;170.0;;8 kW;570.0;широкая хромированная 
PRISMA M;;;Серия Prisma;PM995;;;2585.0;;;;;;170.0;;8 kW;570.0;шлифованная, полированная  стальная 
PRISMA M one part glass;;;Серия Prisma;Ps137;;;1812.0;;;;;;170.0;;8 kW;450.0;черная 
PRISMA M one part glass;;;Серия Prisma;Ps743;;;1885.0;;;;;;170.0;;8 kW;450.0;латунная 
PRISMA M one part glass;;;Серия Prisma;Ps683;;;1936.0;;;;;;170.0;;8 kW;450.0;узкая золотая  
PRISMA M one part glass;;;Серия Prisma;Ps696;;;2412.0;;;;;;170.0;;8 kW;450.0;широкая золотая  
PRISMA M one part glass;;;Серия Prisma;Ps604;;;1936.0;;;;;;170.0;;8 kW;450.0;узкая хромированная 
PRISMA M one part glass;;;Серия Prisma;Ps718;;;2412.0;;;;;;170.0;;8 kW;450.0;широкая хромированная 
PRISMA M one part glass;;;Серия Prisma;Ps362;;;2412.0;;;;;;170.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA M one part glass;;;Серия Prisma;Ps814;;;1986.0;;;;;;170.0;;8 kW;510.0;черная 
PRISMA M one part glass;;;Серия Prisma;Ps989;;;2060.0;;;;;;170.0;;8 kW;510.0;латунная 
PRISMA M one part glass;;;Серия Prisma;Ps733;;;2110.0;;;;;;170.0;;8 kW;510.0;узкая золотая  
PRISMA M one part glass;;;Серия Prisma;Ps893;;;2586.0;;;;;;170.0;;8 kW;510.0;широкая золотая  
PRISMA M one part glass;;;Серия Prisma;Ps557;;;2110.0;;;;;;170.0;;8 kW;510.0;узкая хромированная 
PRISMA M one part glass;;;Серия Prisma;Ps964;;;2586.0;;;;;;170.0;;8 kW;510.0;широкая хромированная 
PRISMA M one part glass;;;Серия Prisma;Ps572;;;2586.0;;;;;;170.0;;8 kW;510.0;шлифованная, полированная  стальная 
PRISMA M one part glass;;;Серия Prisma;Ps900;;;2226.0;;;;;;170.0;;8 kW;570.0;черная 
PRISMA M one part glass;;;Серия Prisma;Ps156;;;2300.0;;;;;;170.0;;8 kW;570.0;латунная 
PRISMA M one part glass;;;Серия Prisma;Ps215;;;2352.0;;;;;;170.0;;8 kW;570.0;узкая золотая  
PRISMA M one part glass;;;Серия Prisma;Ps915;;;2825.0;;;;;;170.0;;8 kW;570.0;широкая золотая  
PRISMA M one part glass;;;Серия Prisma;Ps631;;;2352.0;;;;;;170.0;;8 kW;570.0;узкая хромированная 
PRISMA M one part glass;;;Серия Prisma;Ps864;;;2825.0;;;;;;170.0;;8 kW;570.0;широкая хромированная 
PRISMA M one part glass;;;Серия Prisma;Ps661;;;2825.0;;;;;;170.0;;8 kW;570.0;шлифованная, полированная  стальная 
PRISMA M h;;;Серия Prisma;Ps846;;;2580.0;;;;;;185.0;;8 kW;450.0;черная 
PRISMA M h;;;Серия Prisma;Ps945;;;2655.0;;;;;;185.0;;8 kW;450.0;латунная 
PRISMA M h;;;Серия Prisma;Ps362;;;2706.0;;;;;;185.0;;8 kW;450.0;узкая золотая  
